,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profit,ROI,Year,nameYear
5699,the last house on the left,87000,3100000,3100000,3013000,35.632183908045974,1972,the last house on the left1972
5745,deep throat,25000,45000000,45000000,44975000,1800.0,1972,deep throat1972
4558,1776,4000000,0,0,-4000000,0.0,1972,17761972
4218,high plains drifter,5500000,15700000,15700000,10200000,2.8545454545454545,1973,high plains drifter1973
5372,american graffiti,777000,115000000,140000000,139223000,180.18018018018017,1973,american graffiti1973
4891,sleeper,2000000,18344729,18344729,16344729,9.1723645,1973,sleeper1973
5019,battle for the planet of the apes,1800000,8800000,8800000,7000000,4.888888888888889,1973,battle for the planet of the apes1973
4415,pat garrett and billy the kid,4638783,8000000,11000000,6361217,2.3713116134123973,1973,pat garrett and billy the kid1973
4213,the sting,5500000,159616327,159616327,154116327,29.021150363636362,1973,the sting1973
3993,live and let die,7000000,35400000,161800000,154800000,23.114285714285714,1973,live and let die1973
3341,the exorcist,12000000,230347346,428214478,416214478,35.68453983333333,1973,the exorcist1973
5052,the conversation,1600000,4420000,4420000,2820000,2.7625,1974,the conversation1974
4783,young frankenstein,2800000,86300000,86300000,83500000,30.821428571428573,1974,young frankenstein1974
3174,towering inferno,14000000,116000000,139700000,125700000,9.978571428571428,1974,towering inferno1974
5429,benji,500000,31559560,31559560,31059560,63.11912,1974,benji1974
5665,the texas chainsaw massacre,140000,26572439,26572439,26432439,189.8031357142857,1974,the texas chainsaw massacre1974
4490,the front page,4000000,15000000,15000000,11000000,3.75,1974,the front page1974
3252,the godfather part ii,13000000,57300000,57300000,44300000,4.407692307692308,1974,the godfather part ii1974
4575,the taking of pelham one two three,3800000,0,0,-3800000,0.0,1974,the taking of pelham one two three1974
4800,blazing saddles,2600000,119500000,119500000,116900000,45.96153846153846,1974,blazing saddles1974
3999,the great gatsby,7000000,26533200,26533200,19533200,3.790457142857143,1974,the great gatsby1974
4006,the man with the golden gun,7000000,21000000,97600000,90600000,13.942857142857143,1974,the man with the golden gun1974
4264,the return of the pink panther,5000000,41833347,41833347,36833347,8.3666694,1975,the return of the pink panther1975
5508,monty python and the holy grail,400000,3427696,5028948,4628948,12.57237,1975,monty python and the holy grail1975
5559,death race 2000,300000,0,0,-300000,0.0,1975,death race 20001975
5169,the rocky horror picture show,1200000,1414845,1615976,415976,1.3466466666666668,1975,the rocky horror picture show1975
4677,love and death,3000000,20123742,20123742,17123742,6.707914,1975,love and death1975
3340,jaws,12000000,260000000,470700000,458700000,39.225,1975,jaws1975
3488,barry lyndon,11000000,20000000,20169934,9169934,1.8336303636363636,1975,barry lyndon1975
4459,one flew over the cuckoos nest,4400000,108981275,108997629,104597629,24.77218840909091,1975,one flew over the cuckoos nest1975
4686,family plot,3000000,13200000,13200000,10200000,4.4,1976,family plot1976
5015,carrie,1800000,25878153,25878153,24078153,14.376751666666667,1976,carrie1976
4570,network,3800000,23689877,23689877,19889877,6.234178157894737,1976,network1976
4784,the omen,2800000,48570885,48570885,45770885,17.346744642857143,1976,the omen1976
4460,silent movie,4400000,36145695,36145695,31745695,8.214930681818181,1976,silent movie1976
4325,robin and marian,5000000,8000000,8000000,3000000,1.6,1976,robin and marian1976
4002,logans run,7000000,25000000,25000000,18000000,3.5714285714285716,1976,logans run1976
5210,rocky,1000000,117235147,225000000,224000000,225.0,1976,rocky1976
5214,taxi driver,1000000,28262574,28316211,27316211,28.316211,1976,taxi driver1976
5170,the blue bird,1200000,887000,887000,-313000,0.7391666666666666,1976,the blue bird1976
4635,high anxiety,3400000,31063038,31063038,27663038,9.136187647058824,1977,high anxiety1977
3182,the spy who loved me,14000000,46800000,185400000,171400000,13.242857142857142,1977,the spy who loved me1977
4048,march or die,7000000,1000000,1000000,-6000000,0.14285714285714285,1977,march or die1977
3193,exorcist ii the heretic,14000000,25011000,25011000,11011000,1.7865,1977,exorcist ii the heretic1977
2452,sorcerer,21600000,12000000,12005968,-9594032,0.5558318518518518,1977,sorcerer1977
4479,annie hall,4000000,38251425,38251425,34251425,9.56285625,1977,annie hall1977
3566,peteâs dragon,10000000,36000000,36000000,26000000,3.6,1977,peteâs dragon1977
2914,damnation alley,17000000,0,0,-17000000,0.0,1977,damnation alley1977
2131,a bridge too far,26000000,50800000,50800000,24800000,1.9538461538461538,1977,a bridge too far1977
3202,new york new york,14000000,13800000,13800000,-200000,0.9857142857142858,1977,new york new york1977
5431,kingdom of the spiders,500000,17000000,17000000,16500000,34.0,1977,kingdom of the spiders1977
5408,the kentucky fried movie,600000,15000000,20000000,19400000,33.333333333333336,1977,the kentucky fried movie1977
2489,close encounters of the third kind,20000000,169100479,340800479,320800479,17.04002395,1977,close encounters of the third kind1977
