,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,Action,Crime,Drama,Biography,Comedy,Fantasy,Horror,Thriller,Adventure,Animation,Documentary,History,Mystery,Science Fiction,Romance,Family,War,Music,Sport,Western,Musical,Adult,News,Link,start_year_str,Unnamed: 0_y,Title,Studio,Domestic Gross_x,Foreign Gross,Year_x,Clean Title,Unnamed: 0_x,Average Rating,Number of Votes,Unnamed: 0_y,Movie,Production Budget,Domestic Gross_y,Worldwide Gross,Profit,ROI,Year_y,nameYear
39,221,tt0493405,CHIPS,CHIPS,2017,100.0,"Action,Comedy,Crime",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,chips2017,2017,2884,CHiPs,WB,18600000.0,8199999,2017,chips,68833,6.0,37029,2252,chips,25000000,18600152,23190292,-1809708,0.92761168,2017,chips2017
40,222,tt0493949,Ramona and Beezus,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,ramona and beezus2010,2010,134,Ramona and Beezus,Fox,26200000.0,1100000,2010,ramona and beezus,17229,6.6,16086,3059,ramona and beezus,15000000,26167002,27469621,12469621,1.8313080666666663,2010,ramona and beezus2010
41,228,tt0498381,Rings,Rings,2017,102.0,"Drama,Horror,Mystery",False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,rings2017,2017,2837,Rings,Par.,27800000.0,55300000,2017,rings,3922,4.5,34151,2237,rings,25000000,27793018,82917283,57917283,3.31669132,2017,rings2017
42,234,tt0763831,A Thousand Words,A Thousand Words,2012,91.0,"Comedy,Drama",False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,a thousand words2012,2012,865,A Thousand Words,P/DW,18500000.0,3600000,2012,a thousand words,45644,5.9,36387,1500,a thousand words,40000000,18450127,20790486,-19209514,0.51976215,2012,a thousand words2012
43,235,tt0765446,Escape from Planet Earth,Escape from Planet Earth,2013,89.0,"Adventure,Animation,Comedy",False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,escape from planet earth2013,2013,1213,Escape From Planet Earth,Wein.,57000000.0,17600000,2013,escape from planet earth,24916,5.9,23298,1427,escape from planet earth,40000000,57012977,74156610,34156610,1.85391525,2013,escape from planet earth2013
44,241,tt0770703,What's Your Number?,What's Your Number?,2011,106.0,"Comedy,Romance",False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,whats your number2011,2011,463,What's Your Number?,Fox,14000000.0,16399999,2011,whats your number,23329,6.1,67922,2623,whats your number,20000000,14011084,30163785,10163785,1.50818925,2011,whats your number2011
45,246,tt0770828,Man of Steel,Man of Steel,2013,143.0,"Action,Adventure,Sci-Fi",True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,man of steel2013,2013,1135,Man of Steel,WB,291000000.0,377000000,2013,man of steel,47397,7.1,647288,28,man of steel,225000000,291045518,667999518,442999518,2.968886746666666,2013,man of steel2013
46,254,tt0780504,Drive,Drive,2011,100.0,"Crime,Drama",False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,drive2011,2011,412,Drive,FD,35100000.0,41100000,2011,drive,72557,7.8,521495,3035,drive,15000000,35060689,81357930,66357930,5.423862000000001,2011,drive2011
47,258,tt0780653,The Wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the wolfman2010,2010,49,The Wolfman,Uni.,62000000.0,77800000,2010,the wolfman,30168,5.8,97873,190,the wolfman,150000000,62189884,142634358,-7365642,0.95089572,2010,the wolfman2010
48,263,tt0787474,The Boxtrolls,The Boxtrolls,2014,96.0,"Adventure,Animation,Comedy",False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,the boxtrolls2014,2014,1540,The Boxtrolls,Focus,50800000.0,58400000,2014,the boxtrolls,47400,6.8,50763,893,the boxtrolls,60000000,50837305,111946251,51946251,1.86577085,2014,the boxtrolls2014
49,265,tt0790628,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,2013,100.0,"Adventure,Comedy,Fantasy",False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the incredible burt wonderstone2013,2013,1257,The Incredible Burt Wonderstone,WB (NL),22500000.0,4900000,2013,the incredible burt wonderstone,17230,5.9,67549,1806,the incredible burt wonderstone,32000000,22537881,27392609,-4607391,0.85601903125,2013,the incredible burt wonderstone2013
