,Unnamed: 0,Genre_Ids,Id,Original_Language,Original_Title,Popularity,Release_Date,Title,Vote_Average,Vote_Count,Clean Title,Year,Link
24332,24332,[35],502143,en,The Breaker Upperers,7.906000000000001,2018-03-10,The Breaker Upperers,5.1,103,the breaker upperers,2018,the breaker upperers2018
24333,24333,"[18, 10402, 10749, 53]",519255,en,Bel Canto,7.905,2018-09-14,Bel Canto,4.8,30,bel canto,2018,bel canto2018
24334,24334,[35],535358,en,Ellen DeGeneres: Relatable,7.904,2018-12-18,Ellen DeGeneres: Relatable,6.9,82,ellen degeneres relatable,2018,ellen degeneres relatable2018
24335,24335,"[12, 80, 10751, 35]",425148,en,Show Dogs,7.904,2018-05-18,Show Dogs,5.9,92,show dogs,2018,show dogs2018
24336,24336,[35],446695,en,An Evening with Beverly Luff Linn,7.903,2018-10-19,An Evening with Beverly Luff Linn,6.0,29,an evening with beverly luff linn,2018,an evening with beverly luff linn2018
24337,24337,[18],489934,en,Monsters and Men,7.903,2018-09-28,Monsters and Men,5.6,15,monsters and men,2018,monsters and men2018
24338,24338,[35],431072,en,Step Sisters,7.897,2018-01-19,Step Sisters,6.4,285,step sisters,2018,step sisters2018
24339,24339,"[878, 27, 9648, 53]",478528,en,Beyond The Sky,7.892,2018-09-21,Beyond The Sky,5.1,31,beyond the sky,2018,beyond the sky2018
24340,24340,[27],436373,en,Primal Rage,7.888999999999999,2018-02-27,Primal Rage,5.3,50,primal rage,2018,primal rage2018
24341,24341,[18],392982,en,Marshall,7.879,2017-10-13,Marshall,7.3,257,marshall,2017,marshall2017
24342,24342,"[35, 53]",520596,en,The Oath,7.867000000000001,2018-10-12,The Oath,5.8,31,the oath,2018,the oath2018
24343,24343,[35],490005,en,Never Goin' Back,7.8629999999999995,2018-08-03,Never Goin' Back,6.4,33,never goin back,2018,never goin back2018
24344,24344,"[28, 35, 18]",468219,en,Dead in a Week (Or Your Money Back),7.855,2018-11-30,Dead in a Week (Or Your Money Back),6.2,99,dead in a week or your money back,2018,dead in a week or your money back2018
24345,24345,"[18, 10751, 35]",496327,hi,सुई धागा,7.836,2018-09-28,Sui Dhaaga - Made in India,6.9,26,sui dhaaga  made in india,2018,sui dhaaga  made in india2018
24346,24346,"[28, 878, 16]",452970,ja,劇場版 マジンガーZ ／ INFINITY,7.836,2018-02-11,Mazinger Z: Infinity,5.8,90,mazinger z infinity,2018,mazinger z infinity2018
24347,24347,"[35, 18]",338768,en,Please Stand By,7.832000000000001,2018-01-26,Please Stand By,6.8,174,please stand by,2018,please stand by2018
24348,24348,"[27, 35, 14]",461928,en,Anna and the Apocalypse,7.825,2018-11-30,Anna and the Apocalypse,6.3,54,anna and the apocalypse,2018,anna and the apocalypse2018
24349,24349,[18],42602,sv,En passion,7.824,2018-11-20,The Passion of Anna,7.5,60,the passion of anna,2018,the passion of anna2018
24350,24350,"[18, 10749]",530154,hi,Lust Stories,7.811,2018-06-15,Lust Stories,6.6,46,lust stories,2018,lust stories2018
24351,24351,[35],508933,en,Ricky Gervais: Humanity,7.81,2018-03-13,Ricky Gervais: Humanity,8.0,126,ricky gervais humanity,2018,ricky gervais humanity2018
24352,24352,[99],446663,en,Andre the Giant,7.809,2018-04-10,Andre the Giant,7.1,54,andre the giant,2018,andre the giant2018
24353,24353,[99],489985,en,Minding the Gap,7.803,2018-01-21,Minding the Gap,7.9,51,minding the gap,2018,minding the gap2018
24354,24354,"[18, 10402]",515114,en,Honey: Rise Up and Dance,7.796,2018-04-03,Honey: Rise Up and Dance,6.4,33,honey rise up and dance,2018,honey rise up and dance2018
24355,24355,[27],492621,en,The Midnight Man,7.794,2018-01-19,The Midnight Man,5.1,170,the midnight man,2018,the midnight man2018
24356,24356,"[28, 27, 53]",432579,en,Corbin Nash,7.79,2018-04-20,Corbin Nash,5.3,33,corbin nash,2018,corbin nash2018
24357,24357,"[28, 9648, 53]",500921,en,Between Worlds,7.775,2018-12-21,Between Worlds,3.7,34,between worlds,2018,between worlds2018
24358,24358,"[18, 35]",456086,en,Support the Girls,7.774,2018-08-24,Support the Girls,6.1,53,support the girls,2018,support the girls2018
24360,24360,"[28, 18]",564147,kn,ಕೆಜಿಎಫ್ ಅಧ್ಯಾಯ ೧,7.7589999999999995,2018-12-20,K.G.F: Chapter 1,7.1,25,kgf chapter 1,2018,kgf chapter 12018
24361,24361,"[10752, 18]",383585,en,The Yellow Birds,7.757000000000001,2018-06-15,The Yellow Birds,6.2,50,the yellow birds,2018,the yellow birds2018
24362,24362,"[9648, 27, 878]",505063,en,Await Further Instructions,7.732,2018-10-05,Await Further Instructions,5.4,68,await further instructions,2018,await further instructions2018
24363,24363,[18],487850,ja,寝ても覚めても,7.729,2018-10-06,Asako I & II,7.1,30,asako i  ii,2018,asako i  ii2018
24365,24365,"[18, 35]",454312,en,Tyrel,7.7139999999999995,2018-12-05,Tyrel,6.3,8,tyrel,2018,tyrel2018
24366,24366,"[80, 18]",531647,en,22 Chaser,7.707000000000001,2018-10-19,22 Chaser,6.8,6,22 chaser,2018,22 chaser2018
24367,24367,"[18, 10749, 35]",499319,en,Duck Butter,7.699,2018-04-27,Duck Butter,5.6,75,duck butter,2018,duck butter2018
24368,24368,"[35, 10749]",531736,fr,Les goûts et les couleurs,7.689,2018-06-24,"To Each, Her Own",5.0,106,to each her own,2018,to each her own2018
24369,24369,"[18, 36, 35]",450322,en,The Man Who Invented Christmas,7.687,2017-11-22,The Man Who Invented Christmas,6.6,323,the man who invented christmas,2017,the man who invented christmas2017
24371,24371,"[18, 53, 10749]",528998,en,Affairs of State,7.664,2018-06-15,Affairs of State,5.0,8,affairs of state,2018,affairs of state2018
24372,24372,"[27, 28, 878]",520466,en,Lake Placid: Legacy,7.662999999999999,2018-05-28,Lake Placid: Legacy,4.2,41,lake placid legacy,2018,lake placid legacy2018
24373,24373,"[10751, 14, 16, 12]",494407,ja,劇場版ポケットモンスター みんなの物語,7.662000000000001,2018-07-31,Pokémon the Movie: The Power of Us,6.5,33,pokémon the movie the power of us,2018,pokémon the movie the power of us2018
24374,24374,"[27, 18, 53]",457955,fr,La nuit a dévoré le monde,7.652,2018-07-13,The Night Eats the World,5.6,155,the night eats the world,2018,the night eats the world2018
24375,24375,"[10752, 18]",26372,sv,Skammen,7.642,1968-12-23,Shame,7.8,77,shame,1968,shame1968
24376,24376,"[9648, 80, 18, 53]",412302,en,Gemini,7.62,2018-03-30,Gemini,5.6,59,gemini,2018,gemini2018
24377,24377,"[27, 14, 18, 9648]",333357,en,Stephanie,7.6160000000000005,2017-04-27,Stephanie,5.6,87,stephanie,2017,stephanie2017
24378,24378,[18],519253,it,Rimetti a noi i nostri debiti,7.608,2018-05-04,Forgive Us Our Debts,6.2,173,forgive us our debts,2018,forgive us our debts2018
24379,24379,[18],477887,en,The White Crow,7.579,2019-04-26,The White Crow,6.4,8,the white crow,2019,the white crow2019
24380,24380,[10749],486753,en,Not Cinderella's Type,7.558,2018-02-20,Not Cinderella's Type,6.9,27,not cinderellas type,2018,not cinderellas type2018
24381,24381,[99],502166,en,Take Your Pills,7.551,2018-03-09,Take Your Pills,6.9,70,take your pills,2018,take your pills2018
24382,24382,"[28, 878, 53]",513324,en,Higher Power,7.544,2018-05-11,Higher Power,4.9,43,higher power,2018,higher power2018
24383,24383,[27],481375,en,Malevolent,7.542999999999999,2018-10-05,Malevolent,5.0,236,malevolent,2018,malevolent2018
24384,24384,"[53, 27]",440444,en,Piercing,7.528,2019-02-01,Piercing,5.9,38,piercing,2019,piercing2019
24385,24385,"[53, 28, 18]",529982,en,Asher,7.523,2018-12-07,Asher,6.3,29,asher,2018,asher2018
24386,24386,[99],517686,en,The Russian Five,7.492999999999999,2018-04-11,The Russian Five,10.0,1,the russian five,2018,the russian five2018
24387,24387,"[28, 35, 12]",473920,en,S.M.A.R.T. Chase,7.492999999999999,2018-08-31,S.M.A.R.T. Chase,5.1,43,smart chase,2018,smart chase2018
24388,24388,"[28, 18, 35]",504056,zh,大師兄,7.487,2018-08-31,Big Brother,7.8,12,big brother,2018,big brother2018
24389,24389,[27],502406,en,St. Agatha,7.483,2019-02-08,St. Agatha,5.2,40,st agatha,2019,st agatha2019
24390,24390,"[35, 10402, 10749]",426338,es,La llamada,7.471,2018-01-09,Holy Camp!,7.0,209,holy camp,2018,holy camp2018
24391,24391,"[27, 14]",538858,hi,तुम्बाड,7.47,2018-09-21,Tumbbad,7.6,42,tumbbad,2018,tumbbad2018
24392,24392,"[28, 878]",347111,en,Scorched Earth,7.468999999999999,2018-02-02,Scorched Earth,5.5,44,scorched earth,2018,scorched earth2018
24393,24393,[53],503517,en,In the Cloud,7.4670000000000005,2018-02-08,In the Cloud,4.5,10,in the cloud,2018,in the cloud2018
24394,24394,[53],503420,en,Relentless,7.457000000000001,2018-02-06,Relentless,5.5,6,relentless,2018,relentless2018
24395,24395,"[28, 18]",426284,ja,無限の住人,7.4510000000000005,2017-11-03,Blade of the Immortal,6.5,194,blade of the immortal,2017,blade of the immortal2017
24397,24397,"[18, 10749]",517987,sw,Rafiki,7.44,2019-04-19,Rafiki,7.7,28,rafiki,2019,rafiki2019
24398,24398,"[18, 53, 9648]",516630,en,The Standoff at Sparrow Creek,7.426,2019-01-18,The Standoff at Sparrow Creek,6.3,22,the standoff at sparrow creek,2019,the standoff at sparrow creek2019
24399,24399,"[28, 878]",508648,en,Battle Drone,7.425,2018-03-01,Battle Drone,5.1,20,battle drone,2018,battle drone2018
24401,24401,[35],422615,en,The Clapper,7.405,2018-01-26,The Clapper,5.0,104,the clapper,2018,the clapper2018
24402,24402,[37],514759,en,Gone Are the Days,7.37,2018-03-16,Gone Are the Days,6.4,15,gone are the days,2018,gone are the days2018
24403,24403,[18],12761,sv,Höstsonaten,7.3629999999999995,1978-10-08,Autumn Sonata,8.1,159,autumn sonata,1978,autumn sonata1978
24404,24404,"[80, 18, 53]",460071,en,Lizzie,7.361000000000001,2018-09-14,Lizzie,5.7,60,lizzie,2018,lizzie2018
24405,24405,"[35, 18]",447682,en,Boundaries,7.357,2018-06-22,Boundaries,6.3,14,boundaries,2018,boundaries2018
24406,24406,[18],513427,en,King Lear,7.334,2018-09-27,King Lear,6.0,23,king lear,2018,king lear2018
24408,24408,[35],370187,en,Frat Pack,7.321000000000001,2018-06-19,Frat Pack,5.0,4,frat pack,2018,frat pack2018
24409,24409,"[9648, 53]",345923,en,All I See Is You,7.312,2017-10-27,All I See Is You,4.9,311,all i see is you,2017,all i see is you2017
24410,24410,[35],311307,en,The Legacy of a Whitetail Deer Hunter,7.3,2018-03-10,The Legacy of a Whitetail Deer Hunter,5.3,48,the legacy of a whitetail deer hunter,2018,the legacy of a whitetail deer hunter2018
24411,24411,"[18, 10749]",467915,en,The Delinquent Season,7.297999999999999,2018-11-09,The Delinquent Season,7.1,14,the delinquent season,2018,the delinquent season2018
24412,24412,"[9648, 53, 27]",497327,pt,Asylum of Fear,7.295,2018-01-09,Asylum of Fear,5.0,11,asylum of fear,2018,asylum of fear2018
24413,24413,"[18, 10749, 35]",341735,en,The Seagull,7.287000000000001,2018-05-11,The Seagull,5.8,25,the seagull,2018,the seagull2018
24415,24415,"[53, 80, 9648]",412000,en,Small Town Crime,7.272,2018-01-19,Small Town Crime,6.6,97,small town crime,2018,small town crime2018
24416,24416,[878],546391,en,The Dawnseeker,7.271,2018-08-16,The Dawnseeker,4.2,9,the dawnseeker,2018,the dawnseeker2018
24417,24417,"[27, 53]",496212,es,No dormirás,7.249,2018-04-19,You Shall Not Sleep,5.1,58,you shall not sleep,2018,you shall not sleep2018
24418,24418,"[10752, 18, 10749]",426618,en,Where Hands Touch,7.244,2018-09-14,Where Hands Touch,7.8,43,where hands touch,2018,where hands touch2018
24419,24419,"[35, 18]",434596,en,An Actor Prepares,7.244,2018-08-31,An Actor Prepares,6.5,10,an actor prepares,2018,an actor prepares2018
24420,24420,"[878, 28, 27]",504982,en,The Jurassic Games,7.244,2018-05-21,The Jurassic Games,4.1,37,the jurassic games,2018,the jurassic games2018
24421,24421,"[53, 18, 9648]",429195,en,Dark River,7.242999999999999,2018-06-29,Dark River,6.0,31,dark river,2018,dark river2018
24422,24422,"[35, 18]",415401,en,The Party,7.233,2018-02-16,The Party,6.4,229,the party,2018,the party2018
24423,24423,"[12, 16, 35, 10751, 878]",504997,en,Lego DC Comics Super Heroes: The Flash,7.207999999999999,2018-02-13,Lego DC Comics Super Heroes: The Flash,6.6,46,lego dc comics super heroes the flash,2018,lego dc comics super heroes the flash2018
24424,24424,"[27, 53]",524738,id,Sebelum Iblis Menjemput,7.18,2018-09-23,May the Devil Take You,6.1,29,may the devil take you,2018,may the devil take you2018
24425,24425,"[53, 18, 878]",446827,en,Prodigy,7.178,2017-03-04,Prodigy,6.7,43,prodigy,2017,prodigy2017
24426,24426,[35],419472,en,The Polka King,7.165,2017-01-22,The Polka King,5.6,125,the polka king,2017,the polka king2017
24427,24427,"[35, 18, 10749, 10402]",426030,en,Finding Your Feet,7.1610000000000005,2018-03-30,Finding Your Feet,7.2,64,finding your feet,2018,finding your feet2018
24428,24428,[27],444149,en,Hellraiser: Judgment,7.125,2018-02-13,Hellraiser: Judgment,4.6,70,hellraiser judgment,2018,hellraiser judgment2018
24429,24429,[18],502122,en,First Match,7.122999999999999,2018-03-12,First Match,6.1,75,first match,2018,first match2018
24430,24430,"[35, 10749, 18]",390059,en,Permission,7.122000000000001,2018-02-09,Permission,4.8,69,permission,2018,permission2018
24431,24431,"[27, 53]",526295,en,Another Soul,7.119,2018-05-25,Another Soul,4.8,9,another soul,2018,another soul2018
24432,24432,"[35, 27]",472338,en,Victor Crowley,7.117999999999999,2017-08-22,Victor Crowley,5.7,44,victor crowley,2017,victor crowley2017
24433,24433,"[18, 35]",399725,en,Ideal Home,7.109,2018-06-29,Ideal Home,6.6,69,ideal home,2018,ideal home2018
24434,24434,"[35, 18, 37]",414018,en,Damsel,7.086,2018-06-22,Damsel,4.8,31,damsel,2018,damsel2018
24435,24435,[35],529531,en,Hannah Gadsby: Nanette,7.07,2018-06-19,Hannah Gadsby: Nanette,8.4,112,hannah gadsby nanette,2018,hannah gadsby nanette2018
24436,24436,"[53, 27]",463022,en,The Super,7.042000000000001,2018-10-19,The Super,5.5,51,the super,2018,the super2018
24437,24437,[27],371003,en,Kill Game,7.041,2018-01-19,Kill Game,4.8,15,kill game,2018,kill game2018
24438,24438,"[18, 10752]",438259,en,Journey's End,7.039,2018-03-16,Journey's End,6.3,91,journeys end,2018,journeys end2018
24439,24439,"[35, 18, 36]",427214,en,The Happy Prince,7.031000000000001,2018-10-05,The Happy Prince,6.8,70,the happy prince,2018,the happy prince2018
24440,24440,[99],510258,en,End Game,7.03,2018-01-21,End Game,7.5,33,end game,2018,end game2018
24441,24441,"[18, 27]",18333,sv,Vargtimmen,7.021,1968-04-08,Hour of the Wolf,7.5,171,hour of the wolf,1968,hour of the wolf1968
24442,24442,[99],520370,en,The American Meme,7.018,2018-04-27,The American Meme,6.1,40,the american meme,2018,the american meme2018
24443,24443,"[10749, 35]",354083,en,Sharon 1.2.3.,7.013,2018-09-21,Sharon 1.2.3.,4.1,6,sharon 123,2018,sharon 1232018
24444,24444,[35],457243,en,The Long Dumb Road,6.995,2018-11-09,The Long Dumb Road,5.8,19,the long dumb road,2018,the long dumb road2018
24445,24445,[35],510095,en,Baja,6.975,2018-04-01,Baja,6.5,5,baja,2018,baja2018
24446,24446,"[18, 10752, 28, 12]",345934,en,Air Strike,6.971,2018-10-26,Air Strike,3.9,56,air strike,2018,air strike2018
24447,24447,[878],522882,en,Hover,6.966,2018-06-30,Hover,4.9,9,hover,2018,hover2018
24448,24448,"[27, 53]",524788,en,The Appearance,6.965,2018-06-27,The Appearance,5.3,15,the appearance,2018,the appearance2018
24449,24449,"[18, 35]",452731,en,The Land of Steady Habits,6.962000000000001,2018-09-14,The Land of Steady Habits,5.6,64,the land of steady habits,2018,the land of steady habits2018
24450,24450,"[18, 35]",502422,en,Thunder Road,6.96,2018-03-12,Thunder Road,7.0,82,thunder road,2018,thunder road2018
24451,24451,[53],443849,en,Winter Ridge,6.952999999999999,2018-09-18,Winter Ridge,5.6,10,winter ridge,2018,winter ridge2018
24452,24452,[53],539619,en,Edge of Fear,6.949,2018-08-01,Edge of Fear,5.0,27,edge of fear,2018,edge of fear2018
24453,24453,"[28, 53]",348389,en,Stratton,6.945,2018-01-05,Stratton,4.9,124,stratton,2018,stratton2018
24454,24454,"[27, 53]",416160,en,The Vault,6.945,2017-09-01,The Vault,4.7,187,the vault,2017,the vault2017
24455,24455,"[878, 18, 9648]",451877,en,I Think We're Alone Now,6.933,2018-09-14,I Think We're Alone Now,6.1,78,i think were alone now,2018,i think were alone now2018
24456,24456,[27],521509,en,Extremity,6.928999999999999,2018-09-17,Extremity,5.4,11,extremity,2018,extremity2018
24457,24457,"[80, 53, 18]",414063,fr,Le Fidèle,6.9270000000000005,2017-10-21,Racer and the Jailbird,6.2,84,racer and the jailbird,2017,racer and the jailbird2017
24458,24458,"[18, 878, 18]",587928,en,Violentia,6.91,2018-04-28,Violentia,5.3,4,violentia,2018,violentia2018
24459,24459,[18],444431,he,פוֹקְסטְרוֹט,6.902,2018-03-02,Foxtrot,7.2,75,foxtrot,2018,foxtrot2018
24460,24460,"[27, 53]",550172,en,High Voltage,6.898,2018-10-19,High Voltage,4.6,6,high voltage,2018,high voltage2018
24461,24461,"[10749, 18, 35]",496076,hi,शून्य,6.888999999999999,2018-12-21,Zero,5.4,30,zero,2018,zero2018
24462,24462,"[28, 16, 14, 12, 35, 878]",503314,ja,ドラゴンボール超スーパー ブロリー,6.867999999999999,2019-01-16,Dragon Ball Super: Broly,7.4,721,dragon ball super broly,2019,dragon ball super broly2019
24463,24463,"[99, 35]",493100,en,Robin Williams: Come Inside My Mind,6.864,2018-01-19,Robin Williams: Come Inside My Mind,8.0,58,robin williams come inside my mind,2018,robin williams come inside my mind2018
24464,24464,[27],491132,en,Before Someone Gets Hurt,6.848,2018-07-01,Before Someone Gets Hurt,4.2,9,before someone gets hurt,2018,before someone gets hurt2018
24465,24465,"[35, 10749, 18, 9648]",522921,zh,超时空同居,6.84,2018-05-17,How Long Will I Love U,7.4,11,how long will i love u,2018,how long will i love u2018
24466,24466,"[10752, 28]",480465,en,Wunderland,6.834,2018-02-19,Wunderland,4.3,10,wunderland,2018,wunderland2018
24467,24467,"[27, 35]",396321,en,Puppet Master: The Littlest Reich,6.827000000000001,2018-08-17,Puppet Master: The Littlest Reich,5.7,41,puppet master the littlest reich,2018,puppet master the littlest reich2018
24468,24468,[99],492994,de,The Cleaners,6.825,2018-01-19,The Cleaners,7.4,20,the cleaners,2018,the cleaners2018
24469,24469,"[18, 10749, 35]",416186,fr,Le Redoutable,6.8229999999999995,2018-04-20,Godard Mon Amour,6.8,160,godard mon amour,2018,godard mon amour2018
24470,24470,"[53, 28]",516321,en,The Assassin's Code,6.817,2018-05-11,The Assassin's Code,5.2,13,the assassins code,2018,the assassins code2018
24471,24471,"[18, 36]",517991,ko,공작,6.794,2018-08-17,The Spy Gone North,7.3,33,the spy gone north,2018,the spy gone north2018
24472,24472,[35],531949,en,Father of the Year,6.794,2018-07-20,Father of the Year,5.3,235,father of the year,2018,father of the year2018
24473,24473,[99],474104,en,Demon House,6.778,2018-03-16,Demon House,5.4,48,demon house,2018,demon house2018
24474,24474,[18],558095,en,All Is True,6.777,2018-12-21,All Is True,6.3,8,all is true,2018,all is true2018
24475,24475,"[27, 14]",535280,en,Dracula in Love,6.772,2018-07-11,Dracula in Love,5.0,7,dracula in love,2018,dracula in love2018
24476,24476,"[18, 36, 37]",396373,en,Woman Walks Ahead,6.77,2018-04-25,Woman Walks Ahead,6.7,52,woman walks ahead,2018,woman walks ahead2018
24477,24477,"[53, 18]",414187,en,Josie,6.768,2018-03-16,Josie,5.2,21,josie,2018,josie2018
24478,24478,"[10749, 35]",345935,en,Half Magic,6.768,2018-02-23,Half Magic,5.2,16,half magic,2018,half magic2018
24479,24479,[53],467240,en,Burning Shadow,6.766,2018-08-07,Burning Shadow,6.7,8,burning shadow,2018,burning shadow2018
24480,24480,[53],548754,en,River Runs Red,6.745,2018-11-09,River Runs Red,4.6,17,river runs red,2018,river runs red2018
24481,24481,"[28, 80]",531384,cn,無雙,6.744,2018-10-31,Project Gutenberg,6.8,13,project gutenberg,2018,project gutenberg2018
24482,24482,"[27, 53]",552660,en,No Escape Room,6.742000000000001,2018-10-06,No Escape Room,6.1,30,no escape room,2018,no escape room2018
24483,24483,"[27, 53]",365995,en,Inside,6.727,2018-01-12,Inside,4.7,88,inside,2018,inside2018
24484,24484,"[18, 80]",504599,en,Donnybrook,6.718,2019-02-15,Donnybrook,6.3,9,donnybrook,2019,donnybrook2019
24485,24485,"[27, 9648]",531145,en,Boarding School,6.715,2018-08-31,Boarding School,6.2,59,boarding school,2018,boarding school2018
24486,24486,"[18, 10402]",520679,en,Her Smell,6.712000000000001,2019-04-12,Her Smell,6.6,15,her smell,2019,her smell2019
24487,24487,[18],442811,es,La enfermedad del domingo,6.687,2018-04-19,Sunday's Illness,6.8,43,sundays illness,2018,sundays illness2018
24488,24488,"[16, 35, 10751, 878]",546728,en,Auntie Edna,6.682,2018-10-23,Auntie Edna,7.4,27,auntie edna,2018,auntie edna2018
24490,24490,[18],499556,zh,大象席地而坐,6.645,2018-03-08,An Elephant Sitting Still,8.6,28,an elephant sitting still,2018,an elephant sitting still2018
24491,24491,[18],340268,en,State Like Sleep,6.642,2019-01-04,State Like Sleep,4.7,8,state like sleep,2019,state like sleep2019
24492,24492,"[27, 53]",480007,id,Mata Batin,6.64,2018-09-28,The 3rd Eye,5.5,26,the 3rd eye,2018,the 3rd eye2018
24493,24493,"[12, 14, 9648, 18]",474444,fr,Les garçons sauvages,6.638999999999999,2018-08-24,The Wild Boys,6.7,54,the wild boys,2018,the wild boys2018
24494,24494,"[12, 35, 14]",497984,zh,捉妖记2,6.6370000000000005,2018-02-14,Monster Hunt 2,6.3,14,monster hunt 2,2018,monster hunt 22018
24495,24495,"[27, 53]",507892,en,Devil's Tree: Rooted Evil,6.6370000000000005,2018-02-27,Devil's Tree: Rooted Evil,5.9,14,devils tree rooted evil,2018,devils tree rooted evil2018
24496,24496,[99],489994,en,Shirkers,6.632999999999999,2018-01-21,Shirkers,7.5,36,shirkers,2018,shirkers2018
24497,24497,"[53, 9648]",324538,en,Damascus Cover,6.624,2018-07-20,Damascus Cover,5.5,24,damascus cover,2018,damascus cover2018
24498,24498,"[28, 27, 9648]",561546,en,Nazi Overlord,6.611000000000001,2018-11-13,Nazi Overlord,3.0,8,nazi overlord,2018,nazi overlord2018
24499,24499,[18],490039,pt,Benzinho,6.608,2018-01-18,Loveling,8.0,25,loveling,2018,loveling2018
24500,24500,[27],524789,en,The Devil's Doorway,6.601,2018-07-13,The Devil's Doorway,4.9,50,the devils doorway,2018,the devils doorway2018
24501,24501,[35],532030,en,Dead Sexy,6.597,2018-01-07,Dead Sexy,2.0,4,dead sexy,2018,dead sexy2018
24502,24502,"[27, 53]",523519,en,Anonymous 616,6.581,2018-04-17,Anonymous 616,4.8,12,anonymous 616,2018,anonymous 6162018
24503,24503,[53],525460,en,Welcome Home,6.565,2018-11-16,Welcome Home,5.5,62,welcome home,2018,welcome home2018
24504,24504,"[14, 28, 80]",397852,fi,Rendel,6.556,2018-01-30,Rendel,4.7,60,rendel,2018,rendel2018
24505,24505,[27],489430,es,Aterrados,6.553,2018-09-21,Terrified,6.4,111,terrified,2018,terrified2018
24506,24506,[878],539498,en,Alien Siege,6.545,2018-07-31,Alien Siege,3.7,9,alien siege,2018,alien siege2018
24507,24507,"[18, 35]",435557,en,The Party's Just Beginning,6.539,2018-12-07,The Party's Just Beginning,6.9,18,the partys just beginning,2018,the partys just beginning2018
24508,24508,"[28, 80, 18, 53]",552858,en,Blood Brother,6.537000000000001,2018-11-30,Blood Brother,6.7,15,blood brother,2018,blood brother2018
24509,24509,"[53, 27, 18]",409056,en,Along Came the Devil,6.52,2018-08-10,Along Came the Devil,4.9,16,along came the devil,2018,along came the devil2018
24510,24510,"[28, 53, 80]",372782,zh,追捕,6.504,2018-05-04,Manhunt,5.2,40,manhunt,2018,manhunt2018
24511,24511,"[18, 10749, 53, 9648]",429070,fr,Les Fantômes d'Ismaël,6.5,2018-03-23,Ismael's Ghosts,5.7,82,ismaels ghosts,2018,ismaels ghosts2018
24512,24512,[53],461337,en,Separated At Birth,6.483,2018-02-09,Separated At Birth,5.5,14,separated at birth,2018,separated at birth2018
24513,24513,"[10749, 18, 80]",408873,en,Kings,6.477,2018-04-27,Kings,6.1,64,kings,2018,kings2018
24514,24514,"[878, 35, 27]",469715,en,Snake Outta Compton,6.465,2018-04-23,Snake Outta Compton,3.4,11,snake outta compton,2018,snake outta compton2018
24516,24516,"[53, 18]",492258,en,Cocaine Godmother,6.439,2018-01-20,Cocaine Godmother,6.7,30,cocaine godmother,2018,cocaine godmother2018
24517,24517,"[18, 36, 37]",468210,en,Sweet Country,6.435,2018-04-06,Sweet Country,6.8,67,sweet country,2018,sweet country2018
24518,24518,[27],434520,en,The Ninth Passenger,6.4,2018-07-18,The Ninth Passenger,4.5,11,the ninth passenger,2018,the ninth passenger2018
24519,24519,"[28, 27, 878]",531208,en,Triassic World,6.396,2018-06-19,Triassic World,5.2,6,triassic world,2018,triassic world2018
24521,24521,[35],502426,en,Furlough,6.382999999999999,2018-03-16,Furlough,5.6,26,furlough,2018,furlough2018
24522,24522,[9648],542202,en,Don't Go,6.377999999999999,2018-10-26,Don't Go,5.8,12,dont go,2018,dont go2018
24524,24524,[99],505205,en,Pope Francis: A Man of His Word,6.367000000000001,2018-05-18,Pope Francis: A Man of His Word,7.3,24,pope francis a man of his word,2018,pope francis a man of his word2018
24525,24525,"[18, 35, 10749]",499722,fr,Amoureux de ma femme,6.359,2018-04-30,The Other Woman,4.9,60,the other woman,2018,the other woman2018
24526,24526,[18],468735,en,Madeline's Madeline,6.358,2018-08-10,Madeline's Madeline,6.6,27,madelines madeline,2018,madelines madeline2018
24527,24527,"[27, 53]",513224,en,The Executioners,6.355,2018-03-27,The Executioners,5.0,11,the executioners,2018,the executioners2018
24528,24528,"[27, 35]",551554,en,American Nightmares,6.337000000000001,2018-10-11,American Nightmares,4.6,7,american nightmares,2018,american nightmares2018
24529,24529,[18],504969,fr,Fauve,6.331,2018-01-18,Fauve,7.8,55,fauve,2018,fauve2018
24530,24530,"[27, 53]",516784,en,The Toybox,6.33,2018-09-14,The Toybox,4.4,22,the toybox,2018,the toybox2018
24531,24531,[28],447957,en,Vengeance,6.327000000000001,2018-08-04,I am Vengeance,5.0,8,i am vengeance,2018,i am vengeance2018
24532,24532,[27],537943,en,Malevolence 3: Killer,6.325,2018-10-11,Malevolence 3: Killer,6.6,6,malevolence 3 killer,2018,malevolence 3 killer2018
24533,24533,"[53, 27, 35, 9648]",241863,ja,神さまの言うとおり,6.292000000000001,2018-05-05,As the Gods Will,7.0,93,as the gods will,2018,as the gods will2018
24534,24534,"[36, 53]",519956,en,The Last Witness,6.284,2018-05-29,The Last Witness,6.5,29,the last witness,2018,the last witness2018
24535,24535,[35],535340,en,Iliza Shlesinger: Elder Millennial,6.282,2018-07-24,Iliza Shlesinger: Elder Millennial,7.3,32,iliza shlesinger elder millennial,2018,iliza shlesinger elder millennial2018
24536,24536,[18],502220,en,1985,6.278,2018-10-26,1985,6.5,10,1985,2018,19852018
24537,24537,[99],511791,en,Mercury 13,6.273,2018-04-08,Mercury 13,6.8,13,mercury 13,2018,mercury 132018
24538,24538,[53],521926,en,Welcome to Curiosity,6.271,2018-08-17,Welcome to Curiosity,6.0,11,welcome to curiosity,2018,welcome to curiosity2018
