,Unnamed: 0,Genre_Ids,Id,Original_Language,Original_Title,Popularity,Release_Date,Title,Vote_Average,Vote_Count,Clean Title,Year,Link
160,160,"[18, 27, 9648, 53]",36419,en,After.Life,9.395,2009-11-07,After.Life,5.7,416,afterlife,2009,afterlife2009
161,161,"[35, 18]",44009,en,Another Year,9.394,2010-12-29,Another Year,7.0,150,another year,2010,another year2010
162,162,"[35, 18, 10749]",37056,en,Letters to Juliet,9.394,2010-05-14,Letters to Juliet,6.9,1706,letters to juliet,2010,letters to juliet2010
163,163,[18],27585,en,Rabbit Hole,9.389,2010-12-16,Rabbit Hole,6.8,292,rabbit hole,2010,rabbit hole2010
164,164,"[28, 35]",44147,en,Wild Target,9.355,2010-10-29,Wild Target,6.4,356,wild target,2010,wild target2010
165,165,"[27, 18, 53]",38358,en,The Last Exorcism,9.35,2010-08-27,The Last Exorcism,5.6,519,the last exorcism,2010,the last exorcism2010
166,166,"[53, 18]",43549,en,The Experiment,9.261000000000001,2010-07-15,The Experiment,6.5,553,the experiment,2010,the experiment2010
167,167,"[16, 10751, 35]",50135,de,Konferenz der Tiere,9.258,2010-10-07,Animals United,5.4,151,animals united,2010,animals united2010
168,168,"[18, 28, 35, 53, 80]",26715,en,Bitch Slap,9.253,2010-01-08,Bitch Slap,4.7,148,bitch slap,2010,bitch slap2010
169,169,"[10749, 35]",41211,fr,L'arnacoeur,9.241,2010-09-10,Heartbreaker,6.6,761,heartbreaker,2010,heartbreaker2010
170,170,"[18, 10751, 10749]",35690,en,The Last Song,9.237,2010-03-31,The Last Song,7.2,2199,the last song,2010,the last song2010
171,171,[35],48415,it,Benvenuti al sud,9.187999999999999,2010-12-20,Welcome to the South,6.7,1071,welcome to the south,2010,welcome to the south2010
172,172,"[35, 27]",46838,en,Tucker and Dale vs. Evil,9.158999999999999,2010-01-22,Tucker and Dale vs. Evil,7.3,1427,tucker and dale vs evil,2010,tucker and dale vs evil2010
173,173,"[35, 10751, 16, 12]",41515,en,Yogi Bear,9.096,2010-12-17,Yogi Bear,5.3,387,yogi bear,2010,yogi bear2010
174,174,"[80, 18, 53]",38542,en,The Disappearance of Alice Creed,9.087,2010-04-30,The Disappearance of Alice Creed,6.6,280,the disappearance of alice creed,2010,the disappearance of alice creed2010
175,175,[18],36950,en,You Don't Know Jack,9.071,2010-04-14,You Don't Know Jack,7.0,176,you dont know jack,2010,you dont know jack2010
176,176,[18],39486,en,Secretariat,9.059,2010-10-08,Secretariat,7.0,200,secretariat,2010,secretariat2010
177,177,"[80, 18, 53]",27579,en,The American,9.042,2010-09-01,The American,5.8,690,the american,2010,the american2010
178,178,"[18, 10749]",46705,en,Blue Valentine,8.994,2010-12-29,Blue Valentine,6.9,1677,blue valentine,2010,blue valentine2010
179,179,"[35, 27]",40264,en,Vampires Suck,8.992,2010-08-18,Vampires Suck,4.1,658,vampires suck,2010,vampires suck2010
180,180,"[18, 10752, 9648]",46738,fr,Incendies,8.972999999999999,2010-09-04,Incendies,8.1,1034,incendies,2010,incendies2010
181,181,"[28, 80, 18, 53]",22907,en,Takers,8.969,2010-08-26,Takers,6.2,605,takers,2010,takers2010
182,182,"[16, 35, 878]",278604,en,"Family Guy Presents: Something, Something, Something, Dark Side",8.956,2010-05-23,"Family Guy Presents: Something, Something, Something, Dark Side",7.1,194,family guy presents something something something dark side,2010,family guy presents something something something dark side2010
183,183,"[28, 12, 16, 10751, 878]",45162,en,Superman/Batman: Apocalypse,8.884,2010-09-28,Superman/Batman: Apocalypse,7.0,291,supermanbatman apocalypse,2010,supermanbatman apocalypse2010
184,184,"[878, 28]",42684,en,Skyline,8.847000000000001,2010-11-12,Skyline,4.8,833,skyline,2010,skyline2010
185,185,"[28, 35, 80]",23742,en,Cop Out,8.82,2010-02-26,Cop Out,5.4,796,cop out,2010,cop out2010
186,186,"[18, 53, 9648]",28211,en,Chloe,8.807,2010-03-26,Chloe,5.9,940,chloe,2010,chloe2010
