,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,Action,Crime,Drama,Biography,Comedy,Fantasy,Horror,Thriller,Adventure,Animation,Documentary,History,Mystery,Science Fiction,Romance,Family,War,Music,Sport,Western,Musical,Adult,News,Link,start_year_str,Unnamed: 0_y,Title,Studio,Domestic Gross,Foreign Gross,Year,Clean Title
1732,89601,tt5179598,Billionaire Boys Club,Billionaire Boys Club,2018,108.0,"Biography,Drama,Thriller",False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,billionaire boys club2018,2018,3268,Billionaire Boy's Club,VE,1300.0,2500000,2018,billionaire boys club
1733,89729,tt5187886,Abracadabra,Abracadabra,2017,96.0,"Comedy,Drama,Fantasy",False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,abracadabra2017,2017,3065,Abracadabra,Sony,14000.0,,2017,abracadabra
1734,89867,tt5197544,Baar Baar Dekho,Baar Baar Dekho,2016,141.0,"Comedy,Drama,Romance",False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,baar baar dekho2016,2016,2574,Baar Baar Dekho,Eros,982000.0,,2016,baar baar dekho
1735,90056,tt5208216,Wonderstruck,Wonderstruck,2017,116.0,"Drama,Mystery",False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,wonderstruck2017,2017,2943,Wonderstruck,RAtt.,1100000.0,2200000,2017,wonderstruck
1736,90243,tt5220122,Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,2018,97.0,"Adventure,Animation,Comedy",False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,hotel transylvania 3 summer vacation2018,2018,3095,Hotel Transylvania 3: Summer Vacation,Sony,167500000.0,361100000,2018,hotel transylvania 3 summer vacation
1737,90253,tt5221584,Aquarius,Aquarius,2016,146.0,Drama,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,aquarius2016,2016,2618,Aquarius,Vita.,286000.0,,2016,aquarius
1738,90339,tt5226984,Tom of Finland,Tom of Finland,2017,117.0,"Biography,Drama",False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,tom of finland2017,2017,2996,Tom of Finland,KL,378000.0,,2017,tom of finland
1739,90711,tt5247022,Paterson,Paterson,2016,118.0,"Comedy,Drama,Romance",False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,paterson2016,2016,2546,Paterson,BST,2200000.0,,2016,paterson
1740,90846,tt5255710,Sanam Teri Kasam,Sanam Teri Kasam,2016,154.0,"Drama,Musical,Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,sanam teri kasam2016,2016,2727,Sanam Teri Kasam,Eros,22100.0,,2016,sanam teri kasam
1741,90907,tt5259966,No manches Frida,No manches Frida,2016,114.0,Comedy,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,no manches frida2016,2016,2495,No Manches Frida,PNT,11500000.0,,2016,no manches frida
1742,91202,tt5275314,My Best Friend's Wedding,My Best Friend's Wedding,2016,91.0,"Comedy,Romance",False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,my best friends wedding2016,2016,2514,My Best Friend's Wedding,Sony,78600.0,5600000,2016,my best friends wedding
1743,91210,tt5275828,Lo and Behold: Reveries of the Connected World,Lo and Behold: Reveries of the Connected World,2016,98.0,Documentary,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,lo and behold reveries of the connected world2016,2016,2590,"Lo and Behold, Reveries of the Connected World",Magn.,595000.0,,2016,lo and behold reveries of the connected world
1744,91259,tt5278462,Author: The JT LeRoy Story,Author: The JT LeRoy Story,2016,110.0,"Biography,Documentary",False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,author the jt leroy story2016,2016,2659,Author: The JT LeRoy Story,Magn.,86000.0,,2016,author the jt leroy story
1745,91263,tt5278506,Tickled,Tickled,2016,92.0,"Documentary,Mystery",False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,tickled2016,2016,2589,Tickled,Magn.,614000.0,,2016,tickled
1746,91267,tt5278596,Weiner,Weiner,2016,96.0,Documentary,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,weiner2016,2016,2555,Weiner,IFC,1700000.0,,2016,weiner
